travel_id,airport_origin,destination_airport,purchase_date,travel_date,payment_method,total_price,currency_name,client_id
1,Pattaya Airpark,DEN,2024-05-17 22:47:59,2024-04-09 12:17:17,Visa,$275,Dollar,1
2,Francisco De Orellana Airport,EWR,2024-02-04 21:13:01,2025-09-17 19:57:11,Discover,$260,Dollar,2
3,Presidente João Batista Figueiredo Airport,LAX,2024-05-28 21:52:21,2023-02-13 00:30:19,American Express,$300,Dollar,3
4,West Woodward Airport,LAX,2023-10-24 16:18:50,2025-12-19 05:42:26,Visa,$300,Dollar,4
5,Daugavpils Intrenational Airport,EWR,2023-11-19 17:07:09,2024-07-24 11:02:10,American Express,$260,Dollar,5
6,Ngloram Airport,SEA,2024-02-07 08:18:48,2024-11-24 00:58:03,American Express,$340,Dollar,6
7,Argyle Airport,MCO,2024-04-17 01:34:02,2023-02-20 14:29:35,Visa,$270,Dollar,7
8,Haivaro Airport,JFK,2023-09-14 19:37:34,2025-10-08 17:52:22,Discover,$200,Dollar,8
9,Beluga Airport,MIA,2023-06-07 14:00:58,2025-12-05 04:06:05,American Express,$310,Dollar,9
10,Koyukuk Airport,LAX,2023-03-21 21:12:10,2023-08-26 12:12:01,American Express,$300,Dollar,10
11,Yorketown Airport,IAH,2023-11-07 08:19:55,2024-08-29 23:00:19,Discover,$290,Dollar,11
12,Bowen Airport,JFK,2023-08-24 09:33:03,2025-06-07 03:46:25,Visa,$200,Dollar,12
13,Cotswold Airport,MIA,2024-04-10 16:04:48,2023-06-22 00:06:20,Visa,$310,Dollar,13
14,Nanjing Lukou Airport,DEN,2023-02-27 16:21:09,2024-12-20 09:21:55,American Express,$275,Dollar,14
15,Viracopos International Airport,MIA,2023-07-20 16:54:29,2024-05-18 21:19:37,American Express,$310,Dollar,15
16,Urrao Airport,IAH,2023-03-15 16:30:09,2025-02-20 01:48:38,Discover,$290,Dollar,16
17,Chippewa Valley Regional Airport,MCO,2023-08-16 08:46:09,2024-08-15 04:04:39,Discover,$270,Dollar,17
18,Reykjahlíð Airport,SFO,2024-06-19 08:57:08,2025-12-18 00:33:16,Visa,$325,Dollar,18
